,title,score,img_url,year,nation,category
85,春光乍泄,8.9,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.webp,1997,中国香港 日本 韩国,剧情 爱情 同性
86,哈利·波特与死亡圣器(下),8.9,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p917846733.webp,2011,美国 英国,奇幻 冒险
87,摩登时代,9.3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.webp,1936,美国,剧情 喜剧 爱情
88,喜剧之王,8.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.webp,1999,中国香港,喜剧 剧情 爱情
89,被嫌弃的松子的一生,8.9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.webp,2006,日本,剧情 歌舞
90,致命ID,8.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.webp,2003,美国,剧情 悬疑 惊悚
91,杀人回忆,8.9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p657823840.webp,2003,韩国,剧情 动作 犯罪 悬疑 惊悚
92,加勒比海盗,8.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.webp,2003,美国,动作 冒险 奇幻
93,剪刀手爱德华,8.7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.webp,1990,美国,剧情 奇幻 爱情
94,勇敢的心,8.9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.webp,1995,美国,动作 传记 剧情 历史 战争
95,狩猎,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.webp,2012,丹麦 瑞典,剧情
96,请以你的名字呼唤我,8.9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.webp,2017,意大利 法国 巴西 美国 荷兰 德国,剧情 爱情 同性
97,红辣椒,9.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456825720.webp,2006,日本,动画 悬疑 科幻 惊悚
98,断背山,8.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2604889017.webp,2005,美国 加拿大,剧情 爱情 同性 家庭
99,7号房的礼物,8.9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.webp,2013,韩国,剧情 喜剧 家庭
100,天使爱美丽,8.7,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.webp,2001,法国 德国,剧情 喜剧 爱情
101,幽灵公主,8.9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.webp,1997,日本,动画 奇幻 冒险
102,小森林 夏秋篇,9.0,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.webp,2014,日本,剧情
